height [mm],rad [mm],Freq [GHz],"dB(S(1,1)) []"
13,13,1,-0.4880855296
13,13,1.01,-0.4839739504
13,13,1.02,-0.4799210548
13,13,1.03,-0.4759275004
13,13,1.04,-0.4719939242
13,13,1.05,-0.4681209436
13,13,1.06,-0.4643091575
13,13,1.07,-0.4605591471
13,13,1.08,-0.4568714771
13,13,1.09,-0.4532466964
13,13,1.1,-0.4496853391
13,13,1.11,-0.4461879252
13,13,1.12,-0.4427549621
13,13,1.13,-0.4393869445
13,13,1.14,-0.4360843558
13,13,1.15,-0.432847669
13,13,1.16,-0.4296773469
13,13,1.17,-0.4265738434
13,13,1.18,-0.4235376039
13,13,1.19,-0.4205690662
13,13,1.2,-0.4176686608
13,13,1.21,-0.4148368122
13,13,1.22,-0.412073939
13,13,1.23,-0.4093804547
13,13,1.24,-0.4067567683
13,13,1.25,-0.404203285
13,13,1.26,-0.4017204064
13,13,1.27,-0.3993085318
13,13,1.28,-0.3969680577
13,13,1.29,-0.3946993792
13,13,1.3,-0.3925028902
13,13,1.31,-0.3903789839
13,13,1.32,-0.388328053
13,13,1.33,-0.3863504908
13,13,1.34,-0.3844466911
13,13,1.35,-0.3826170489
13,13,1.36,-0.3808619607
13,13,1.37,-0.3791818252
13,13,1.38,-0.3775770434
13,13,1.39,-0.3760480192
13,13,1.4,-0.3745951597
13,13,1.41,-0.3732188757
13,13,1.42,-0.371919582
13,13,1.43,-0.3706976979
13,13,1.44,-0.3695536473
13,13,1.45,-0.3684878594
13,13,1.46,-0.3675007689
13,13,1.47,-0.3665928165
13,13,1.48,-0.3657644489
13,13,1.49,-0.3650161195
13,13,1.5,-0.3643482887
13,13,1.51,-0.3637614242
13,13,1.52,-0.3632560012
13,13,1.53,-0.3628325029
13,13,1.54,-0.3624914209
13,13,1.55,-0.3622332553
13,13,1.56,-0.3620585152
13,13,1.57,-0.361967719
13,13,1.58,-0.3619613946
13,13,1.59,-0.3620400801
13,13,1.6,-0.3622043234
13,13,1.61,-0.3624546831
13,13,1.62,-0.3627917289
13,13,1.63,-0.3632160412
13,13,1.64,-0.363728212
13,13,1.65,-0.3643288451
13,13,1.66,-0.3650185559
13,13,1.67,-0.3657979724
13,13,1.68,-0.3666677347
13,13,1.69,-0.3676284957
13,13,1.7,-0.3686809213
13,13,1.71,-0.3698256901
13,13,1.72,-0.3710634942
13,13,1.73,-0.3723950388
13,13,1.74,-0.3738210427
13,13,1.75,-0.3753422381
13,13,1.76,-0.3769593705
13,13,1.77,-0.3786731992
13,13,1.78,-0.3804844964
13,13,1.79,-0.382394048
13,13,1.8,-0.3844026524
13,13,1.81,-0.386511121
13,13,1.82,-0.3887202772
13,13,1.83,-0.3910309562
13,13,1.84,-0.3934440044
13,13,1.85,-0.3959602784
13,13,1.86,-0.3985806443
13,13,1.87,-0.4013059764
13,13,1.88,-0.4041371561
13,13,1.89,-0.4070750704
13,13,1.9,-0.4101206098
13,13,1.91,-0.4132746666
13,13,1.92,-0.4165381326
13,13,1.93,-0.4199118958
13,13,1.94,-0.423396838
13,13,1.95,-0.4269938306
13,13,1.96,-0.4307037308
13,13,1.97,-0.4345273766
13,13,1.98,-0.4384655818
13,13,1.99,-0.4425191294
13,13,2,-0.4466887648
13,13,2.01,-0.4509751879
13,13,2.02,-0.4553790436
13,13,2.03,-0.4599009119
13,13,2.04,-0.4645412958
13,13,2.05,-0.4693006078
13,13,2.06,-0.4741791549
13,13,2.07,-0.4791771208
13,13,2.08,-0.4842945467
13,13,2.09,-0.4895313079
13,13,2.1,-0.4948870891
13,13,2.11,-0.5003613544
13,13,2.12,-0.5059533141
13,13,2.13,-0.5116618871
13,13,2.14,-0.5174856571
13,13,2.15,-0.5234228233
13,13,2.16,-0.5294711435
13,13,2.17,-0.5356278699
13,13,2.18,-0.5418896748
13,13,2.19,-0.5482525661
13,13,2.2,-0.55471179
13,13,2.21,-0.5612617203
13,13,2.22,-0.5678957305
13,13,2.23,-0.5746060474
13,13,2.24,-0.5813835834
13,13,2.25,-0.5882177435
13,13,2.26,-0.5950962032
13,13,2.27,-0.6020046541
13,13,2.28,-0.6089265113
13,13,2.29,-0.6158425767
13,13,2.3,-0.6227306538
13,13,2.31,-0.6295651049
13,13,2.32,-0.6363163454
13,13,2.33,-0.642950265
13,13,2.34,-0.6494275705
13,13,2.35,-0.6557030392
13,13,2.36,-0.6617246786
13,13,2.37,-0.6674327859
13,13,2.38,-0.6727589072
13,13,2.39,-0.6776247004
13,13,2.4,-0.6819407183
13,13,2.41,-0.6856051406
13,13,2.42,-0.6885025077
13,13,2.43,-0.6905025404
13,13,2.44,-0.691459175
13,13,2.45,-0.6912100055
13,13,2.46,-0.689576407
13,13,2.47,-0.6863647235
13,13,2.48,-0.6813690344
13,13,2.49,-0.674376168
13,13,2.5,-0.6651737916
13,13,2.51,-0.6535625356
13,13,2.52,-0.6393731619
13,13,2.53,-0.6224896447
13,13,2.54,-0.602878586
13,13,2.55,-0.5806244576
13,13,2.56,-0.5559686197
13,13,2.57,-0.5293478851
13,13,2.58,-0.5014258088
13,13,2.59,-0.4731075494
13,13,2.6,-0.4455281775
13,13,2.61,-0.4200060666
13,13,2.62,-0.3979584845
13,13,2.63,-0.3807854127
13,13,2.64,-0.3697377378
13,13,2.65,-0.3657934417
13,13,2.66,-0.369566474
13,13,2.67,-0.3812661411
13,13,2.68,-0.4007122354
13,13,2.69,-0.4273976075
13,13,2.7,-0.4605804292
13,13,2.71,-0.4993855565
13,13,2.72,-0.5428975754
13,13,2.73,-0.5902346143
13,13,2.74,-0.6405988773
13,13,2.75,-0.6933051114
13,13,2.76,-0.747791208
13,13,2.77,-0.8036161216
13,13,2.78,-0.86044995
13,13,2.79,-0.918060046
13,13,2.8,-0.976295901
13,13,2.81,-1.035074535
13,13,2.82,-1.094367349
13,13,2.83,-1.154188857
13,13,2.84,-1.214587377
13,13,2.85,-1.275637545
13,13,2.86,-1.337434472
13,13,2.87,-1.400089259
13,13,2.88,-1.46372567
13,13,2.89,-1.528477717
13,13,2.9,-1.594487992
13,13,2.91,-1.661906586
13,13,2.92,-1.730890465
13,13,2.93,-1.801603223
13,13,2.94,-1.874215111
13,13,2.95,-1.94890331
13,13,2.96,-2.025852388
13,13,2.97,-2.105254913
13,13,2.98,-2.187312204
13,13,2.99,-2.272235203
13,13,3,-2.360245455
13,13,3.01,-2.451576205
13,13,3.02,-2.546473591
13,13,3.03,-2.645197962
13,13,3.04,-2.748025313
13,13,3.05,-2.85524884
13,13,3.06,-2.967180653
13,13,3.07,-3.084153637
13,13,3.08,-3.206523495
13,13,3.09,-3.334670992
13,13,3.1,-3.46900442
13,13,3.11,-3.609962336
13,13,3.12,-3.758016575
13,13,3.13,-3.913675624
13,13,3.14,-4.077488365
13,13,3.15,-4.25004829
13,13,3.16,-4.43199822
13,13,3.17,-4.624035646
13,13,3.18,-4.826918771
13,13,3.19,-5.04147339
13,13,3.2,-5.268600733
13,13,3.21,-5.509286464
13,13,3.22,-5.764611013
13,13,3.23,-6.035761485
13,13,3.24,-6.324045405
13,13,3.25,-6.630906595
13,13,3.26,-6.957943484
13,13,3.27,-7.306930139
13,13,3.28,-7.679840211
13,13,3.29,-8.07887378
13,13,3.3,-8.506486589
13,13,3.31,-8.965420231
13,13,3.32,-9.458730002
13,13,3.33,-9.989803636
13,13,3.34,-10.56235751
13,13,3.35,-11.18038435
13,13,3.36,-11.84800275
13,13,3.37,-12.56911371
13,13,3.38,-13.34668524
13,13,3.39,-14.18133258
13,13,3.4,-15.06860321
13,13,3.41,-15.99402549
13,13,3.42,-16.92483577
13,13,3.43,-17.79862614
13,13,3.44,-18.51499619
13,13,3.45,-18.94789868
13,13,3.46,-18.99675563
13,13,3.47,-18.6507682
13,13,3.48,-17.99692863
13,13,3.49,-17.16153625
13,13,3.5,-16.25222026
13,13,3.51,-15.33866176
13,13,3.52,-14.45860991
13,13,3.53,-13.62942928
13,13,3.54,-12.85710428
13,13,3.55,-12.14177549
13,13,3.56,-11.48081498
13,13,3.57,-10.87044739
13,13,3.58,-10.30657297
13,13,3.59,-9.785167386
13,13,3.6,-9.302461342
13,13,3.61,-8.855007485
13,13,3.62,-8.439691374
13,13,3.63,-8.053715979
13,13,3.64,-7.69457506
13,13,3.65,-7.360023226
13,13,3.66,-7.048046468
13,13,3.67,-6.756834904
13,13,3.68,-6.484758362
13,13,3.69,-6.230344899
13,13,3.7,-5.99226209
13,13,3.71,-5.769300801
13,13,3.72,-5.56036115
13,13,3.73,-5.36444036
13,13,3.74,-5.18062223
13,13,3.75,-5.008067976
13,13,3.76,-4.846008268
13,13,3.77,-4.69373625
13,13,3.78,-4.550601422
13,13,3.79,-4.416004256
13,13,3.8,-4.289391426
13,13,3.81,-4.170251589
13,13,3.82,-4.058111623
13,13,3.83,-3.952533266
13,13,3.84,-3.853110116
13,13,3.85,-3.759464925
13,13,3.86,-3.67124717
13,13,3.87,-3.58813086
13,13,3.88,-3.509812544
13,13,3.89,-3.436009519
13,13,3.9,-3.366458191
13,13,3.91,-3.30091259
13,13,3.92,-3.239143014
13,13,3.93,-3.180934798
13,13,3.94,-3.126087182
13,13,3.95,-3.074412279
13,13,3.96,-3.025734135
13,13,3.97,-2.979887864
13,13,3.98,-2.936718854
13,13,3.99,-2.896082041
13,13,4,-2.857841248
13,13,4.01,-2.821868566
13,13,4.02,-2.788043801
13,13,4.03,-2.756253954
13,13,4.04,-2.726392749
13,13,4.05,-2.698360205
13,13,4.06,-2.672062231
13,13,4.07,-2.647410266
13,13,4.08,-2.624320946
13,13,4.09,-2.602715794
13,13,4.1,-2.582520946
13,13,4.11,-2.563666891
13,13,4.12,-2.546088243
13,13,4.13,-2.529723528
13,13,4.14,-2.51451499
13,13,4.15,-2.500408422
13,13,4.16,-2.487353009
13,13,4.17,-2.475301185
13,13,4.18,-2.464208513
13,13,4.19,-2.45403357
13,13,4.2,-2.444737854
13,13,4.21,-2.436285697
13,13,4.22,-2.428644192
13,13,4.23,-2.421783136
13,13,4.24,-2.415674975
13,13,4.25,-2.410294766
13,13,4.26,-2.405620147
13,13,4.27,-2.401631312
13,13,4.28,-2.398311004
13,13,4.29,-2.395644503
13,13,4.3,-2.393619635
13,13,4.31,-2.392226777
13,13,4.32,-2.391458877
13,13,4.33,-2.391311475
13,13,4.34,-2.391782731
13,13,4.35,-2.392873458
13,13,4.36,-2.39458716
13,13,4.37,-2.396930074
13,13,4.38,-2.399911215
13,13,4.39,-2.403542419
13,13,4.4,-2.407838397
13,13,4.41,-2.41281678
13,13,4.42,-2.418498169
13,13,4.43,-2.424906181
13,13,4.44,-2.432067496
13,13,4.45,-2.440011898
13,13,4.46,-2.448772309
13,13,4.47,-2.458384821
13,13,4.48,-2.468888716
13,13,4.49,-2.480326478
13,13,4.5,-2.492743796
13,13,4.51,-2.506189549
13,13,4.52,-2.520715781
13,13,4.53,-2.536377658
13,13,4.54,-2.553233402
13,13,4.55,-2.571344212
13,13,4.56,-2.590774155
13,13,4.57,-2.611590038
13,13,4.58,-2.633861254
13,13,4.59,-2.657659595
13,13,4.6,-2.68305904
13,13,4.61,-2.710135515
13,13,4.62,-2.738966614
13,13,4.63,-2.7696313
13,13,4.64,-2.802209559
13,13,4.65,-2.83678204
13,13,4.66,-2.873429651
13,13,4.67,-2.912233129
13,13,4.68,-2.953272589
13,13,4.69,-2.99662704
13,13,4.7,-3.042373888
13,13,4.71,-3.090588417
13,13,4.72,-3.141343254
13,13,4.73,-3.19470784
13,13,4.74,-3.250747885
13,13,4.75,-3.309524835
13,13,4.76,-3.371095349
13,13,4.77,-3.435510797
13,13,4.78,-3.502816776
13,13,4.79,-3.573052664
13,13,4.8,-3.64625121
13,13,4.81,-3.722438172
13,13,4.82,-3.801631999
13,13,4.83,-3.883843576
13,13,4.84,-3.969076024
13,13,4.85,-4.057324567
13,13,4.86,-4.148576464
13,13,4.87,-4.242811005
13,13,4.88,-4.339999581
13,13,4.89,-4.440105812
13,13,4.9,-4.543085747
13,13,4.91,-4.648888121
13,13,4.92,-4.75745467
13,13,4.93,-4.868720497
13,13,4.94,-4.982614485
13,13,4.95,-5.099059753
13,13,4.96,-5.21797414
13,13,4.97,-5.33927072
13,13,4.98,-5.462858337
13,13,4.99,-5.588642148
13,13,5,-5.716524173
13.2,13,1,-0.4949056517
13.2,13,1.01,-0.4907970528
13.2,13,1.02,-0.4867457767
13.2,13,1.03,-0.4827525727
13.2,13,1.04,-0.4788181675
13.2,13,1.05,-0.4749432661
13.2,13,1.06,-0.4711285525
13.2,13,1.07,-0.4673746912
13.2,13,1.08,-0.4636823275
13.2,13,1.09,-0.460052089
13.2,13,1.1,-0.4564845858
13.2,13,1.11,-0.452980412
13.2,13,1.12,-0.4495401463
13.2,13,1.13,-0.4461643528
13.2,13,1.14,-0.4428535818
13.2,13,1.15,-0.4396083709
13.2,13,1.16,-0.4364292453
13.2,13,1.17,-0.4333167189
13.2,13,1.18,-0.4302712953
13.2,13,1.19,-0.4272934678
13.2,13,1.2,-0.4243837209
13.2,13,1.21,-0.4215425307
13.2,13,1.22,-0.4187703654
13.2,13,1.23,-0.4160676863
13.2,13,1.24,-0.4134349484
13.2,13,1.25,-0.410872601
13.2,13,1.26,-0.4083810882
13.2,13,1.27,-0.4059608499
13.2,13,1.28,-0.4036123222
13.2,13,1.29,-0.4013359381
13.2,13,1.3,-0.3991321278
13.2,13,1.31,-0.3970013197
13.2,13,1.32,-0.394943941
13.2,13,1.33,-0.3929604179
13.2,13,1.34,-0.3910511763
13.2,13,1.35,-0.3892166425
13.2,13,1.36,-0.3874572439
13.2,13,1.37,-0.3857734091
13.2,13,1.38,-0.3841655687
13.2,13,1.39,-0.3826341558
13.2,13,1.4,-0.3811796068
13.2,13,1.41,-0.3798023613
13.2,13,1.42,-0.3785028632
13.2,13,1.43,-0.3772815612
13.2,13,1.44,-0.3761389088
13.2,13,1.45,-0.3750753653
13.2,13,1.46,-0.3740913965
13.2,13,1.47,-0.3731874744
13.2,13,1.48,-0.3723640786
13.2,13,1.49,-0.3716216964
13.2,13,1.5,-0.3709608232
13.2,13,1.51,-0.3703819634
13.2,13,1.52,-0.3698856306
13.2,13,1.53,-0.3694723483
13.2,13,1.54,-0.3691426505
13.2,13,1.55,-0.3688970819
13.2,13,1.56,-0.3687361988
13.2,13,1.57,-0.3686605696
13.2,13,1.58,-0.3686707749
13.2,13,1.59,-0.3687674089
13.2,13,1.6,-0.368951079
13.2,13,1.61,-0.369222407
13.2,13,1.62,-0.3695820295
13.2,13,1.63,-0.3700305984
13.2,13,1.64,-0.3705687814
13.2,13,1.65,-0.3711972629
13.2,13,1.66,-0.3719167441
13.2,13,1.67,-0.372727944
13.2,13,1.68,-0.3736315996
13.2,13,1.69,-0.3746284668
13.2,13,1.7,-0.3757193208
13.2,13,1.71,-0.3769049564
13.2,13,1.72,-0.3781861893
13.2,13,1.73,-0.3795638558
13.2,13,1.74,-0.3810388138
13.2,13,1.75,-0.3826119432
13.2,13,1.76,-0.3842841462
13.2,13,1.77,-0.3860563483
13.2,13,1.78,-0.3879294981
13.2,13,1.79,-0.3899045679
13.2,13,1.8,-0.3919825543
13.2,13,1.81,-0.3941644782
13.2,13,1.82,-0.3964513849
13.2,13,1.83,-0.3988443448
13.2,13,1.84,-0.4013444528
13.2,13,1.85,-0.4039528287
13.2,13,1.86,-0.4066706169
13.2,13,1.87,-0.409498986
13.2,13,1.88,-0.4124391287
13.2,13,1.89,-0.4154922605
13.2,13,1.9,-0.4186596195
13.2,13,1.91,-0.4219424651
13.2,13,1.92,-0.4253420764
13.2,13,1.93,-0.4288597508
13.2,13,1.94,-0.4324968017
13.2,13,1.95,-0.4362545562
13.2,13,1.96,-0.4401343521
13.2,13,1.97,-0.4441375341
13.2,13,1.98,-0.4482654502
13.2,13,1.99,-0.4525194462
13.2,13,2,-0.4569008604
13.2,13,2.01,-0.4614110164
13.2,13,2.02,-0.4660512161
13.2,13,2.03,-0.4708227299
13.2,13,2.04,-0.4757267863
13.2,13,2.05,-0.4807645601
13.2,13,2.06,-0.4859371577
13.2,13,2.07,-0.4912456014
13.2,13,2.08,-0.49669081
13.2,13,2.09,-0.5022735769
13.2,13,2.1,-0.5079945457
13.2,13,2.11,-0.5138541799
13.2,13,2.12,-0.5198527304
13.2,13,2.13,-0.5259901958
13.2,13,2.14,-0.5322662779
13.2,13,2.15,-0.53868033
13.2,13,2.16,-0.5452312964
13.2,13,2.17,-0.5519176437
13.2,13,2.18,-0.5587372801
13.2,13,2.19,-0.5656874628
13.2,13,2.2,-0.5727646899
13.2,13,2.21,-0.5799645767
13.2,13,2.22,-0.5872817102
13.2,13,2.23,-0.5947094818
13.2,13,2.24,-0.602239893
13.2,13,2.25,-0.6098633289
13.2,13,2.26,-0.6175682965
13.2,13,2.27,-0.6253411199
13.2,13,2.28,-0.6331655863
13.2,13,2.29,-0.6410225362
13.2,13,2.3,-0.6488893868
13.2,13,2.31,-0.6567395807
13.2,13,2.32,-0.6645419476
13.2,13,2.33,-0.6722599684
13.2,13,2.34,-0.679850928
13.2,13,2.35,-0.6872649447
13.2,13,2.36,-0.6944438651
13.2,13,2.37,-0.7013200142
13.2,13,2.38,-0.7078147965
13.2,13,2.39,-0.7138371517
13.2,13,2.4,-0.7192818821
13.2,13,2.41,-0.7240278881
13.2,13,2.42,-0.7279363819
13.2,13,2.43,-0.7308491924
13.2,13,2.44,-0.7325873385
13.2,13,2.45,-0.7329501375
13.2,13,2.46,-0.731715229
13.2,13,2.47,-0.7286400449
13.2,13,2.48,-0.723465433
13.2,13,2.49,-0.7159223332
13.2,13,2.5,-0.7057425877
13.2,13,2.51,-0.6926750704
13.2,13,2.52,-0.676508256
13.2,13,2.53,-0.6570999698
13.2,13,2.54,-0.6344141965
13.2,13,2.55,-0.6085633092
13.2,13,2.56,-0.5798518717
13.2,13,2.57,-0.5488154544
13.2,13,2.58,-0.5162453148
13.2,13,2.59,-0.4831884245
13.2,13,2.6,-0.4509135242
13.2,13,2.61,-0.4208387299
13.2,13,2.62,-0.3944245411
13.2,13,2.63,-0.3730459898
13.2,13,2.64,-0.3578655695
13.2,13,2.65,-0.349730873
13.2,13,2.66,-0.3491158406
13.2,13,2.67,-0.3561137161
13.2,13,2.68,-0.3704773293
13.2,13,2.69,-0.3916927158
13.2,13,2.7,-0.4190680145
13.2,13,2.71,-0.4518210338
13.2,13,2.72,-0.4891538269
13.2,13,2.73,-0.5303085335
13.2,13,2.74,-0.5746037372
13.2,13,2.75,-0.6214538043
13.2,13,2.76,-0.6703751411
13.2,13,2.77,-0.7209834861
13.2,13,2.78,-0.772985804
13.2,13,2.79,-0.8261695165
13.2,13,2.8,-0.8803909587
13.2,13,2.81,-0.9355642508
13.2,13,2.82,-0.9916512398
13.2,13,2.83,-1.048652804
13.2,13,2.84,-1.106601584
13.2,13,2.85,-1.165556059
13.2,13,2.86,-1.225595849
13.2,13,2.87,-1.286818056
13.2,13,2.88,-1.349334498
13.2,13,2.89,-1.413269682
13.2,13,2.9,-1.47875938
13.2,13,2.91,-1.545949704
13.2,13,2.92,-1.614996584
13.2,13,2.93,-1.686065583
13.2,13,2.94,-1.759331988
13.2,13,2.95,-1.834981131
13.2,13,2.96,-1.913208919
13.2,13,2.97,-1.994222526
13.2,13,2.98,-2.078241267
13.2,13,2.99,-2.165497606
13.2,13,3,-2.256238323
13.2,13,3.01,-2.350725826
13.2,13,3.02,-2.449239617
13.2,13,3.03,-2.552077927
13.2,13,3.04,-2.659559515
13.2,13,3.05,-2.772025676
13.2,13,3.06,-2.889842449
13.2,13,3.07,-3.013403076
13.2,13,3.08,-3.14313073
13.2,13,3.09,-3.279481546
13.2,13,3.1,-3.422948021
13.2,13,3.11,-3.574062812
13.2,13,3.12,-3.733403012
13.2,13,3.13,-3.901594988
13.2,13,3.14,-4.079319863
13.2,13,3.15,-4.267319769
13.2,13,3.16,-4.466405019
13.2,13,3.17,-4.677462369
13.2,13,3.18,-4.901464596
13.2,13,3.19,-5.139481667
13.2,13,3.2,-5.392693842
13.2,13,3.21,-5.662407149
13.2,13,3.22,-5.95007177
13.2,13,3.23,-6.257304031
13.2,13,3.24,-6.585912865
13.2,13,3.25,-6.937931846
13.2,13,3.26,-7.315658186
13.2,13,3.27,-7.721700405
13.2,13,3.28,-8.159036798
13.2,13,3.29,-8.631087202
13.2,13,3.3,-9.141800785
13.2,13,3.31,-9.695762402
13.2,13,3.32,-10.29831854
13.2,13,3.33,-10.95571931
13.2,13,3.34,-11.67526112
13.2,13,3.35,-12.46538531
13.2,13,3.36,-13.3356182
13.2,13,3.37,-14.29606994
13.2,13,3.38,-15.35580868
13.2,13,3.39,-16.51848335
13.2,13,3.4,-17.77151164
13.2,13,3.41,-19.06175475
13.2,13,3.42,-20.25124027
13.2,13,3.43,-21.07940556
13.2,13,3.44,-21.24992147
13.2,13,3.45,-20.69139632
13.2,13,3.46,-19.6391909
13.2,13,3.47,-18.39199672
13.2,13,3.48,-17.13774855
13.2,13,3.49,-15.95861587
13.2,13,3.5,-14.88005456
13.2,13,3.51,-13.90329495
13.2,13,3.52,-13.02073762
13.2,13,3.53,-12.22239749
13.2,13,3.54,-11.49839598
13.2,13,3.55,-10.83981195
13.2,13,3.56,-10.23887616
13.2,13,3.57,-9.688918395
13.2,13,3.58,-9.184234999
13.2,13,3.59,-8.719943548
13.2,13,3.6,-8.291849202
13.2,13,3.61,-7.896330013
13.2,13,3.62,-7.530241511
13.2,13,3.63,-7.190838444
13.2,13,3.64,-6.875710939
13.2,13,3.65,-6.582732469
13.2,13,3.66,-6.310017335
13.2,13,3.67,-6.055885791
13.2,13,3.68,-5.81883529
13.2,13,3.69,-5.597516652
13.2,13,3.7,-5.390714181
13.2,13,3.71,-5.197328973
13.2,13,3.72,-5.016364831
13.2,13,3.73,-4.846916288
13.2,13,3.74,-4.68815837
13.2,13,3.75,-4.539337801
13.2,13,3.76,-4.399765391
13.2,13,3.77,-4.268809423
13.2,13,3.78,-4.145889882
13.2,13,3.79,-4.030473385
13.2,13,3.8,-3.92206871
13.2,13,3.81,-3.820222854
13.2,13,3.82,-3.724517514
13.2,13,3.83,-3.634565965
13.2,13,3.84,-3.550010261
13.2,13,3.85,-3.470518731
13.2,13,3.86,-3.395783724
13.2,13,3.87,-3.325519585
13.2,13,3.88,-3.259460815
13.2,13,3.89,-3.19736042
13.2,13,3.9,-3.138988407
13.2,13,3.91,-3.084130422
13.2,13,3.92,-3.032586509
13.2,13,3.93,-2.984169986
13.2,13,3.94,-2.938706415
13.2,13,3.95,-2.896032668
13.2,13,3.96,-2.855996068
13.2,13,3.97,-2.818453613
13.2,13,3.98,-2.783271257
13.2,13,3.99,-2.750323259
13.2,13,4,-2.719491586
13.2,13,4.01,-2.690665366
13.2,13,4.02,-2.663740385
13.2,13,4.03,-2.63861863
13.2,13,4.04,-2.615207871
13.2,13,4.05,-2.593421272
13.2,13,4.06,-2.573177047
13.2,13,4.07,-2.554398133
13.2,13,4.08,-2.537011899
13.2,13,4.09,-2.520949878
13.2,13,4.1,-2.506147527
13.2,13,4.11,-2.492544
13.2,13,4.12,-2.480081952
13.2,13,4.13,-2.468707356
13.2,13,4.14,-2.458369341
13.2,13,4.15,-2.449020041
13.2,13,4.16,-2.440614471
13.2,13,4.17,-2.433110408
13.2,13,4.18,-2.426468286
13.2,13,4.19,-2.420651113
13.2,13,4.2,-2.415624391
13.2,13,4.21,-2.411356053
13.2,13,4.22,-2.407816412
13.2,13,4.23,-2.404978112
13.2,13,4.24,-2.402816106
13.2,13,4.25,-2.401307622
13.2,13,4.26,-2.40043216
13.2,13,4.27,-2.40017148
13.2,13,4.28,-2.40050961
13.2,13,4.29,-2.401432856
13.2,13,4.3,-2.402929821
13.2,13,4.31,-2.40499143
13.2,13,4.32,-2.407610967
13.2,13,4.33,-2.410784106
13.2,13,4.34,-2.414508963
13.2,13,4.35,-2.418786141
13.2,13,4.36,-2.423618781
13.2,13,4.37,-2.429012625
13.2,13,4.38,-2.43497607
13.2,13,4.39,-2.441520234
13.2,13,4.4,-2.448659016
13.2,13,4.41,-2.456409162
13.2,13,4.42,-2.464790326
13.2,13,4.43,-2.473825131
13.2,13,4.44,-2.483539228
13.2,13,4.45,-2.493961344
13.2,13,4.46,-2.505123336
13.2,13,4.47,-2.517060221
13.2,13,4.48,-2.529810215
13.2,13,4.49,-2.543414743
13.2,13,4.5,-2.557918453
13.2,13,4.51,-2.573369198
13.2,13,4.52,-2.589818014
13.2,13,4.53,-2.607319076
13.2,13,4.54,-2.625929629
13.2,13,4.55,-2.645709895
13.2,13,4.56,-2.666722964
13.2,13,4.57,-2.68903465
13.2,13,4.58,-2.712713317
13.2,13,4.59,-2.737829681
13.2,13,4.6,-2.764456574
13.2,13,4.61,-2.792668682
13.2,13,4.62,-2.822542241
13.2,13,4.63,-2.854154708
13.2,13,4.64,-2.887584395
13.2,13,4.65,-2.922910068
13.2,13,4.66,-2.960210518
13.2,13,4.67,-2.999564109
13.2,13,4.68,-3.041048287
13.2,13,4.69,-3.084739076
13.2,13,4.7,-3.130710558
13.2,13,4.71,-3.179034329
13.2,13,4.72,-3.229778958
13.2,13,4.73,-3.283009439
13.2,13,4.74,-3.338786649
13.2,13,4.75,-3.397166815
13.2,13,4.76,-3.458201009
13.2,13,4.77,-3.521934655
13.2,13,4.78,-3.588407086
13.2,13,4.79,-3.657651125
13.2,13,4.8,-3.729692729
13.2,13,4.81,-3.80455067
13.2,13,4.82,-3.882236293
13.2,13,4.83,-3.962753316
13.2,13,4.84,-4.046097713
13.2,13,4.85,-4.132257659
13.2,13,4.86,-4.221213542
13.2,13,4.87,-4.312938046
13.2,13,4.88,-4.407396305
13.2,13,4.89,-4.504546121
13.2,13,4.9,-4.604338238
13.2,13,4.91,-4.706716683
13.2,13,4.92,-4.81161915
13.2,13,4.93,-4.918977433
13.2,13,4.94,-5.028717902
13.2,13,4.95,-5.140762001
13.2,13,4.96,-5.255026776
13.2,13,4.97,-5.371425423
13.2,13,4.98,-5.489867839
13.2,13,4.99,-5.610261176
13.2,13,5,-5.732510399
13.4,13,1,-0.499619871
13.4,13,1.01,-0.4954972281
13.4,13,1.02,-0.4914344567
13.4,13,1.03,-0.4874322909
13.4,13,1.04,-0.4834914406
13.4,13,1.05,-0.4796125936
13.4,13,1.06,-0.4757964156
13.4,13,1.07,-0.4720435519
13.4,13,1.08,-0.468354628
13.4,13,1.09,-0.464730251
13.4,13,1.1,-0.4611710099
13.4,13,1.11,-0.4576774773
13.4,13,1.12,-0.4542502097
13.4,13,1.13,-0.4508897488
13.4,13,1.14,-0.4475966224
13.4,13,1.15,-0.4443713449
13.4,13,1.16,-0.4412144186
13.4,13,1.17,-0.4381263344
13.4,13,1.18,-0.4351075725
13.4,13,1.19,-0.4321586033
13.4,13,1.2,-0.4292798884
13.4,13,1.21,-0.4264718811
13.4,13,1.22,-0.4237350273
13.4,13,1.23,-0.4210697662
13.4,13,1.24,-0.4184765312
13.4,13,1.25,-0.4159557506
13.4,13,1.26,-0.413507848
13.4,13,1.27,-0.4111332435
13.4,13,1.28,-0.4088323541
13.4,13,1.29,-0.4066055945
13.4,13,1.3,-0.4044533775
13.4,13,1.31,-0.4023761153
13.4,13,1.32,-0.4003742194
13.4,13,1.33,-0.398448102
13.4,13,1.34,-0.3965981757
13.4,13,1.35,-0.3948248554
13.4,13,1.36,-0.3931285576
13.4,13,1.37,-0.3915097021
13.4,13,1.38,-0.389968712
13.4,13,1.39,-0.3885060145
13.4,13,1.4,-0.3871220415
13.4,13,1.41,-0.3858172304
13.4,13,1.42,-0.3845920243
13.4,13,1.43,-0.3834468729
13.4,13,1.44,-0.3823822332
13.4,13,1.45,-0.3813985699
