"Height [mm]","Radius [mm]","Freq [GHz]","dB(S(1,1)) []"
13,8.2,3.88,-7.98244628759997
13,8.2,3.89,-8.05182946370407
13,8.2,3.9,-8.11555666256509
13,8.2,3.91,-8.17321919841156
13,8.2,3.92,-8.22446025347767
13,8.2,3.93,-8.268984918173
13,8.2,3.94,-8.30656896712209
13,8.2,3.95,-8.33706589682061
13,8.2,3.96,-8.36041182337663
13,8.2,3.97,-8.37662794838478
13,8.2,3.98,-8.38582043869134
13,8.2,3.99,-8.38817771892673
13,8.2,4,-8.38396532921845
13,8.2,4.01,-8.37351863938185
13,8.2,4.02,-8.35723382217608
13,8.2,4.03,-8.33555756286954
13,8.2,4.04,-8.30897601625664
13,8.2,4.05,-8.27800351630538
13,8.2,4.06,-8.24317150299892
13,8.2,4.07,-8.20501806388612
13,8.2,4.08,-8.16407840407115
13,8.2,4.09,-8.1208764675409
13,8.2,4.1,-8.07591784337262
13,8.2,4.11,-8.02968400908894
13,8.2,4.12,-7.98262789462789
13,8.2,4.13,-7.93517069631747
13,8.2,4.14,-7.88769983130907
13,8.2,4.15,-7.8405678981768
13,8.2,4.16,-7.79409249698424
13,8.2,4.17,-7.7485567597478
13,8.2,4.18,-7.70421044746803
13,8.2,4.19,-7.66127148047132
13,8.2,4.2,-7.6199277827072
13,8.2,4.21,-7.58033933624117
13,8.2,4.22,-7.54264035820603
13,8.2,4.23,-7.50694152800867
13,8.2,4.24,-7.47333220702343
13,8.2,4.25,-7.44188260596978
13,8.2,4.26,-7.41264586649838
13,8.2,4.27,-7.3856600331593
13,8.2,4.28,-7.36094989996246
13,8.2,4.29,-7.33852872228479
13,8.2,4.3,-7.31839979008831
13,8.2,4.31,-7.30055786245979
13,8.2,4.32,-7.28499046653641
13,8.2,4.33,-7.27167906610665
13,8.2,4.34,-7.26060010671979
13,8.2,4.35,-7.25172594513354
13,8.2,4.36,-7.24502567149201
13,8.2,4.37,-7.24046583285298
13,8.2,4.38,-7.2380110666561
13,8.2,4.39,-7.2376246525088
13,8.2,4.4,-7.23926899031948
13,8.2,4.41,-7.24290601237033
13,8.2,4.42,-7.24849753643032
13,8.2,4.43,-7.25600556648739
13,8.2,4.44,-7.26539254714894
13,8.2,4.45,-7.27662157723549
13,8.2,4.46,-7.28965658758448
13,8.2,4.47,-7.30446248759701
13,8.2,4.48,-7.32100528460528
13,8.2,4.49,-7.33925217971389
13,8.2,4.5,-7.35917164337707
13,8.2,4.51,-7.38073347361483
13,8.2,4.52,-7.40390883944452
13,8.2,4.53,-7.42867031180844
13,8.2,4.54,-7.45499188401143
13,8.2,4.55,-7.48284898344338
13,8.2,4.56,-7.5122184761476
13,8.2,4.57,-7.54307866560578
13,8.2,4.58,-7.5754092869413
13,8.2,4.59,-7.60919149759311
13,8.2,4.6,-7.64440786538081
13,8.2,4.61,-7.68104235476553
13,8.2,4.62,-7.71908031200984
13,8.2,4.63,-7.75850844985129
13,8.2,4.64,-7.79931483222677
13,8.2,4.65,-7.84148885951859
13,8.2,4.66,-7.88502125473472
13,8.2,4.67,-7.92990405098692
13,8.2,4.68,-7.97613058058767
13,8.2,4.69,-8.02369546605119
13,8.2,4.7,-8.07259461325438
13,8.2,4.71,-8.12282520698797
13,8.2,4.72,-8.17438570910868
13,8.2,4.73,-8.22727585948711
13,8.2,4.74,-8.28149667993373
13,8.2,4.75,-8.3370504812768
13,8.2,4.76,-8.39394087376068
13,8.2,4.77,-8.4521727809298
13,8.2,4.78,-8.51175245716413
13,8.2,4.79,-8.57268750903459
13,8.2,4.8,-8.6349869206514
13,8.2,4.81,-8.69866108318694
13,8.2,4.82,-8.76372182876345
13,8.2,4.83,-8.8301824689089
13,8.2,4.84,-8.89805783779897
13,8.2,4.85,-8.96736434052
13,8.2,4.86,-9.03812000660798
13,8.2,4.87,-9.11034454914086
13,8.2,4.88,-9.18405942968752
13,8.2,4.89,-9.25928792944505
13,8.2,4.9,-9.33605522692882
13,8.2,4.91,-9.41438848261544
13,8.2,4.92,-9.49431693097974
13,8.2,4.93,-9.57587198041162
13,8.2,4.94,-9.65908732154924
13,8.2,4.95,-9.74399904462144
13,8.2,4.96,-9.83064576645527
13,8.2,4.97,-9.91906876787491
13,8.2,4.98,-10.0093121422974
13,8.2,4.99,-10.1014229564195
13,8.2,5,-10.1954514239884
13,8.2,5.01,-10.2914510937634
13,8.2,5.02,-10.3894790528995
13,8.2,5.03,-10.489596147127
13,8.2,5.04,-10.5918672192654
13,8.2,5.05,-10.6963613677884
13,8.2,5.06,-10.8031522273684
13,8.2,5.07,-10.9123182735645
13,8.2,5.08,-11.023943154087
13,8.2,5.09,-11.1381160493836
13,8.2,5.1,-11.2549320656436
13,8.2,5.11,-11.3744926637262
13,8.2,5.12,-11.4969061279882
13,8.2,5.13,-11.622288079528
13,8.2,5.14,-11.7507620389946
13,8.2,5.15,-11.8824600448366
13,8.2,5.16,-12.0175233337235
13,8.2,5.17,-12.156103090863
13,8.2,5.18,-12.2983612791082
13,8.2,5.19,-12.4444715571223
13,8.2,5.2,-12.5946202984921
13,8.2,5.21,-12.7490077256007
13,8.2,5.22,-12.9078491743608
13,8.2,5.23,-13.0713765086357
13,8.2,5.24,-13.2398397064479
13,8.2,5.25,-13.4135086440126
13,8.2,5.26,-13.5926751083944
13,8.2,5.27,-13.7776550753634
13,8.2,5.28,-13.9687912960863
13,8.2,5.29,-14.1664562449361
13,8.2,5.3,-14.3710554913732
13,8.2,5.31,-14.5830315720797
13,8.2,5.32,-14.8028684560246
13,8.2,5.33,-15.0310967158423
13,8.2,5.34,-15.268299545063
13,8.2,5.35,-15.5151197940088
13,8.2,5.36,-15.7722682398106
13,8.2,5.37,-16.0405333610888
13,8.2,5.38,-16.3207929595922
13,8.2,5.39,-16.6140280654075
13,8.2,5.4,-16.9213396875021
13,8.2,5.41,-17.2439691391766
13,8.2,5.42,-17.5833228955018
13,8.2,5.43,-17.9410032519459
13,8.2,5.44,-18.3188464872061
13,8.2,5.45,-18.7189708446851
13,8.2,5.46,-19.1438375220291
13,8.2,5.47,-19.5963291312903
13,8.2,5.48,-20.0798519788165
13,8.2,5.49,-20.598471365996
13,8.2,5.5,-21.1570935200777
13,8.2,5.51,-21.7617147465986
13,8.2,5.52,-22.4197697611585
13,8.2,5.53,-23.1406302348615
13,8.2,5.54,-23.9363377217986
13,8.2,5.55,-24.8227149476907
13,8.2,5.56,-25.8211121660273
13,8.2,5.57,-26.9612681268296
13,8.2,5.58,-28.2862284766765
13,8.2,5.59,-29.8612721586217
13,8.2,5.6,-31.7910051916658
13,8.2,5.61,-34.2526222224888
13,8.2,5.62,-37.5422431343512
13,8.2,5.63,-41.7676958982214
13,8.2,5.64,-43.0115196239194
13,8.2,5.65,-38.8816191141937
13,8.2,5.66,-35.1188373413517
13,8.2,5.67,-32.3070268209373
13,8.2,5.68,-30.1194216263105
13,8.2,5.69,-28.3401113721181
13,8.2,5.7,-26.8432214881674
13,8.2,5.71,-25.5518618669262
13,8.2,5.72,-24.4162983888033
13,8.2,5.73,-23.4027186742327
13,8.2,5.74,-22.4871661541126
13,8.2,5.75,-21.6520780309149
13,8.2,5.76,-20.8842067748438
13,8.2,5.77,-20.1733161292282
13,8.2,5.78,-19.5113314636151
13,8.2,5.79,-18.8917678106782
13,8.2,5.8,-18.3093337912103
13,8.2,5.81,-17.7596504855686
13,8.2,5.82,-17.2390475171558
13,8.2,5.83,-16.7444122765314
13,8.2,5.84,-16.2730765191949
13,8.2,5.85,-15.8227297634172
13,8.2,5.86,-15.3913522464533
13,8.2,5.87,-14.9771623852308
13,8.2,5.88,-14.5785751547717
13,8.2,5.89,-14.194168800886
13,8.2,5.9,-13.8226580024916
13,8.2,5.91,-13.4628720944261
13,8.2,5.92,-13.1137373194195
13,8.2,5.93,-12.7742623413832
13,8.2,5.94,-12.443526450699
13,8.2,5.95,-12.1206700460672
13,8.2,5.96,-11.8048871011871
13,8.2,5.97,-11.4954194288289
13,8.2,5.98,-11.1915526480551
13,8.2,5.99,-10.892613849414
13,8.2,6,-10.5979710440429
13,8.4,3,-2.77367069870993
13,8.4,3.01,-2.79796321562857
13,8.4,3.02,-2.8226988725797
13,8.4,3.03,-2.84788771486323
13,8.4,3.04,-2.87354015743873
13,8.4,3.05,-2.89966700406766
13,8.4,3.06,-2.92627946720231
13,8.4,3.07,-2.95338918863056
13,8.4,3.08,-2.98100826088228
13,8.4,3.09,-3.00914924939894
13,8.4,3.1,-3.03782521546342
13,8.4,3.11,-3.06704973988081
13,8.4,3.12,-3.09683694739408
13,8.4,3.13,-3.12720153181033
13,8.4,3.14,-3.15815878180313
13,8.4,3.15,-3.18972460734542
13,8.4,3.16,-3.22191556671321
13,8.4,3.17,-3.25474889398506
13,8.4,3.18,-3.28824252694354
13,8.4,3.19,-3.3224151352632
13,8.4,3.2,-3.3572861488451
13,8.4,3.21,-3.39287578612846
13,8.4,3.22,-3.42920508217718
13,8.4,3.23,-3.46629591629992
13,8.4,3.24,-3.50417103891864
13,8.4,3.25,-3.54285409734894
13,8.4,3.26,-3.58236966009782
13,8.4,3.27,-3.62274323921678
13,8.4,3.28,-3.66400131017227
13,8.4,3.29,-3.70617132860781
13,8.4,3.3,-3.74928174327289
13,8.4,3.31,-3.79336200428043
13,8.4,3.32,-3.83844256572661
13,8.4,3.33,-3.88455488156131
13,8.4,3.34,-3.93173139343397
13,8.4,3.35,-3.9800055090542
13,8.4,3.36,-4.02941156939991
13,8.4,3.37,-4.07998480287279
13,8.4,3.38,-4.13176126424223
13,8.4,3.39,-4.18477775593094
13,8.4,3.4,-4.23907172887687
13,8.4,3.41,-4.29468115985629
13,8.4,3.42,-4.35164440176951
13,8.4,3.43,-4.41000000297549
13,8.4,3.44,-4.46978649131421
13,8.4,3.45,-4.53104211797988
13,8.4,3.46,-4.59380455590749
13,8.4,3.47,-4.6581105468184
13,8.4,3.48,-4.72399549054735
13,8.4,3.49,-4.79149296975976
13,8.4,3.5,-4.86063420268415
13,8.4,3.51,-4.93144741605879
13,8.4,3.52,-5.00395713015928
13,8.4,3.53,-5.07818334758157
13,8.4,3.54,-5.15414063746067
13,8.4,3.55,-5.2318371070817
13,8.4,3.56,-5.31127325347432
13,8.4,3.57,-5.39244068868097
13,8.4,3.58,-5.47532073407728
13,8.4,3.59,-5.55988288154517
13,8.4,3.6,-5.6460831226157
13,8.4,3.61,-5.73386215108942
13,8.4,3.62,-5.82314345028904
13,8.4,3.63,-5.91383128318703
13,8.4,3.64,-6.00580861234164
13,8.4,3.65,-6.09893498698693
13,8.4,3.66,-6.19304444680159
13,8.4,3.67,-6.28794350575129
13,8.4,3.68,-6.3834092947206
13,8.4,3.69,-6.479187957951
13,8.4,3.7,-6.57499341482345
13,8.4,3.71,-6.67050661415785
13,8.4,3.72,-6.76537542144361
13,8.4,3.73,-6.85921528835723
13,8.4,3.74,-6.95161085628277
13,8.4,3.75,-7.04211863879505
13,8.4,3.76,-7.13027090960974
13,8.4,3.77,-7.21558089003687
13,8.4,3.78,-7.29754928188426
13,8.4,3.79,-7.37567212763779
13,8.4,3.8,-7.44944990092534
13,8.4,3.81,-7.51839764025299
13,8.4,3.82,-7.58205584370037
13,8.4,3.83,-7.64000174989005
13,8.4,3.84,-7.69186055104339
13,8.4,3.85,-7.73731602790951
13,8.4,3.86,-7.77612007358977
13,8.4,3.87,-7.8081005910426
13,8.4,3.88,-7.83316731049672
13,8.4,3.89,-7.85131517604977
13,8.4,3.9,-7.8626250877879
13,8.4,3.91,-7.86726194439109
13,8.4,3.92,-7.86547009575163
13,8.4,3.93,-7.85756646907183
13,8.4,3.94,-7.84393176023606
13,8.4,3.95,-7.82500017370949
13,8.4,3.96,-7.80124824267166
13,8.4,3.97,-7.77318326597498
13,8.4,3.98,-7.74133186427047
13,8.4,3.99,-7.7062290924483
13,8.4,4,-7.66840845965799
13,8.4,4.01,-7.62839311225783
13,8.4,4.02,-7.58668833875154
13,8.4,4.03,-7.54377546681316
13,8.4,4.04,-7.50010714620283
13,8.4,4.05,-7.45610395065469
13,8.4,4.06,-7.41215218749908
13,8.4,4.07,-7.36860277506913
13,8.4,4.08,-7.32577103295833
13,8.4,4.09,-7.28393722647505
13,8.4,4.1,-7.24334771153203
13,8.4,4.11,-7.20421653717874
13,8.4,4.12,-7.16672737779058
13,8.4,4.13,-7.13103568372355
13,8.4,4.14,-7.09727095659287
13,8.4,4.15,-7.06553907219539
13,8.4,4.16,-7.03592458977172
13,8.4,4.17,-7.00849300037371
13,8.4,4.18,-6.98329287936776
13,8.4,4.19,-6.96035791852005
13,8.4,4.2,-6.93970882174807
13,8.4,4.21,-6.92135505561708
13,8.4,4.22,-6.90529645119128
13,8.4,4.23,-6.89152465810564
13,8.4,4.24,-6.88002445490009
13,8.4,4.25,-6.87077492193517
13,8.4,4.26,-6.86375048475167
13,8.4,4.27,-6.85892183669496
13,8.4,4.28,-6.85625675012361
13,8.4,4.29,-6.85572078566798
13,8.4,4.3,-6.85727790888864
13,8.4,4.31,-6.86089102337782
13,8.4,4.32,-6.86652242890907
13,8.4,4.33,-6.87413421271703
13,8.4,4.34,-6.88368858141682
13,8.4,4.35,-6.89514814047795
13,8.4,4.36,-6.9084761275723
13,8.4,4.37,-6.92363660553363
13,8.4,4.38,-6.94059462010822
13,8.4,4.39,-6.95931632714914
13,8.4,4.4,-6.97976909341512
13,8.4,4.41,-7.00192157468035
13,8.4,4.42,-7.02574377444514
13,8.4,4.43,-7.05120708615846
13,8.4,4.44,-7.07828432152037
13,8.4,4.45,-7.10694972712423
13,8.4,4.46,-7.13717899142205
13,8.4,4.47,-7.16894924375039
13,8.4,4.48,-7.20223904693534
13,8.4,4.49,-7.23702838480157
13,8.4,4.5,-7.27329864573965
13,8.4,4.51,-7.31103260333576
13,8.4,4.52,-7.35021439493638
13,8.4,4.53,-7.39082949890545
13,8.4,4.54,-7.4328647112314
13,8.4,4.55,-7.47630812205472
13,8.4,4.56,-7.52114909261126
13,8.4,4.57,-7.56737823302191
13,8.4,4.58,-7.61498738130377
13,8.4,4.59,-7.66396958393045
13,8.4,4.6,-7.714319078229
13,8.4,4.61,-7.76603127686735
13,8.4,4.62,-7.81910275465778
